straight_rpm,MASS,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m
15.0,64.55,0.05,1.25,1.5,3.0,0.1,5.0,9.762534734483241,0.3037154956139722,0.5298095735240782,0.1757552141235083,0.357046716498862,5.7763182846823,1.341440057341855,0,0.0,3,0.30000000000000004,0.30000000000000004,0.30897738372858685,0.6664069928932178,1.1945316815443112,1.8352694040537882,6.521744612143485,0.12801337831996304,0.1228503950396805,3.003537503195506,13.4,32.00000000000001,0.2714900584375469,0.6320716715230259,1.1651228563687144,1.6504337206231419,6.177733211100316
14.0,64.55,0.06,1.0,2.0,3.0,0.1,5.0,9.765856600646758,0.34073233124004004,0.5097046457657541,0.22318863281873005,0.3315054474104247,5.725748745244372,1.341440057341855,0,0.0,3,0.30000000000000004,0.30000000000000004,0.32230789897426254,0.693530744979402,1.2390776444059144,1.9126447140146763,6.780820408689329,0.13348711742288724,0.12780654080437062,3.088817960800375,13.3,32.00000000000001,0.2832743262450171,0.6579434186474071,1.2087853615409463,1.7203071824442393,6.424025419242705
14.0,64.55,0.06,1.25,1.5,3.0,0.1,5.0,9.800724825565235,0.3585431371830924,0.5085062234318605,0.22893171321298228,0.32801986596481486,5.725748745244372,1.341440057341855,0,0.0,3,0.30000000000000004,0.30000000000000004,0.32297751016290305,0.6965458699597709,1.2482430623449463,1.918368572140399,6.8161761220769455,0.13381339818697183,0.12840661443083928,3.1298510111798996,13.3,32.00000000000001,0.2837929809398462,0.660664764440321,1.2175344099756593,1.7251734996303902,6.456696706601629
16.0,64.55,0.05,1.0,2.0,3.0,0.1,5.0,9.887850047778965,0.45195267646757176,0.4663663268840697,0.3311426464231925,0.2725979042358936,5.675179205806444,1.3341230571626614,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3507992094171354,0.7547374334219485,1.3478854085458547,2.081614385285878,7.378344306881581,0.14528634662526313,0.1390862638777774,3.345050612121224,13.2,31.900000000000002,0.30831761199834057,0.7160218007859859,1.314972310631087,1.8723023161061387,6.990218392267275
16.0,64.55,0.05,1.25,1.5,3.0,0.1,5.0,9.921803311405633,0.4693207105375522,0.465067307610397,0.3373367114589372,0.2688599724761111,5.675179205806444,1.3341230571626614,0,0.0,3,0.30000000000000004,0.30000000000000004,0.35152494813478713,0.7579863640794454,1.3576549889807252,2.087798955361505,7.416259715264246,0.1456400157694266,0.13973345925263267,3.385063591840696,13.2,31.900000000000002,0.3088800505391405,0.7189559462917727,1.3243045172336272,1.8775625990739522,7.025271499138511
15.0,64.55,0.06,1.0,2.0,3.0,0.1,5.0,9.949822763809486,0.5261995009188313,0.43719823735593966,0.4037839942819515,0.23296778624251605,5.624609666368516,1.326806056983468,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3699749456361098,0.7959227482057386,1.4210515473769483,2.1953279167887927,7.780329202416317,0.15322760929115936,0.14667629467114793,3.516102595842189,13.1,31.8,0.32517292110507495,0.7551032442792998,1.3863796745738703,1.97459386366624,7.371135330306867
14.0,64.55,0.07,1.0,2.0,3.0,0.1,5.0,9.98729370333845,0.5494336466292868,0.4280314446629028,0.42661080847747795,0.2205157923429344,5.624609666368516,1.326806056983468,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3760014215925291,0.8088647948829258,1.4440350266859292,2.231063788029081,7.906634995090438,0.15572334726223966,0.14906138563883573,3.569630093391183,13.1,31.8,0.3304701795748319,0.7673843598257482,1.408811264112761,2.0067404976967547,7.490823111516574
15.0,64.55,0.06,1.25,1.5,3.0,0.1,5.0,10.033434351528577,0.5431201769336322,0.43583200088341545,0.4102764243732493,0.22906504827234783,5.675179205806444,1.326806056983468,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3707381801364576,0.7993260611571348,1.4312092745306535,2.201818436592112,7.819916309260149,0.15359957889450204,0.1473546651277723,3.555084939122493,13.2,31.8,0.32576463908011977,0.758178084365653,1.3960872897139043,1.9801159981931262,7.407745750476591
16.0,64.55,0.07,0.75,0.0,3.0,0.1,5.0,10.038668051020093,1.1703000116145228,0.2216596232284273,1.0245871173702479,0.10306297598857515,4.916636114237531,0.5951060390641385,0,0.0,2,0.2,0.2,0.4874097966736868,1.121112089770235,2.16526915101848,2.9647512752878535,11.188830052060409,0.21190984652781805,0.2115417598607866,5.0,11.700000000000001,21.8,0.4450577522154404,1.0789855415669052,2.123912440225189,2.7532214181048023,10.768391478216381
14.0,64.55,0.05,1.5,1.0,3.0,0.1,5.0,10.047889483673044,0.231384411706897,0.5877394451610958,0.0364273307295938,0.4196768273389299,6.1303050607477925,1.3853420584170144,0,0.0,4,0.4,0.4,0.28187981201020984,0.5991274164845234,1.0777802437196122,1.6684536012305458,5.886461150015495,0.1122414736695901,0.10829253018024648,2.83689905800362,14.1,32.6,0.23785084316928207,0.5581452435746872,1.0417463181864033,1.4508458905127632,5.47640323308142
