policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,overtaking,7.715636756725871,0.48053457069092276,-33.48340197482355,,,goal,False,False,59,55.41572645154616,-0.626320598643537,1,1,0,0,0,0.0008969889650496253,0.12563242490233156,0.0,0.0,0.0,0.6909605039012645,0.881060739946807,2.159950739860896,0,,False,overtaking,11,0.0,False,0.0,development,49
model,overtaking,7.643066319700785,1.4565110359186628,-15.877261576857428,,,goal,False,False,55,25.446183073865953,-59.16870671202223,19,0,27,0,16,3.6251169341631884,0.0,8.788555884470169,0.0,2.1301281564048526,0.6985028482171963,0.9821663490050284,2.0790675456605,0,,False,overtaking,32,0.0,False,0.0,development,50
model,overtaking,7.958885684444756,0.20003527248455244,23.442474700345457,,,goal,False,False,53,43.551061686287355,-52.53488616336378,9,22,35,0,0,0.8541620226240003,1.1217815225608185,11.87610155963859,0.0,0.0,0.7224949390740889,0.964630497876342,2.2450301038591762,0,,False,overtaking,35,0.0,False,0.0,development,51
model,overtaking,8.919597231476935,0.13798261904919595,17.680517633095562,,,goal,False,False,50,35.61125432081528,-44.60145727952136,13,14,30,0,3,1.598367524388837,0.5999459566947566,9.103458324953191,0.0,0.21052346185023846,0.7648873798366616,0.9129169586530012,2.3902344080097895,0,,False,overtaking,30,0.0,False,0.0,development,52
model,overtaking,6.8745535936065325,0.28746468602396713,-3.0451325432284904,,,goal,False,False,70,-22.119884975429187,-53.0423053014883,16,2,31,0,0,4.5023643660005,0.12206578404983232,8.375382238538654,0.0,0.0,0.5522515398462979,0.9669309867083798,1.413664259480189,0,,False,overtaking,35,0.0,False,0.0,development,53
model,overtaking,7.392424952880393,0.4945733667904759,-21.414130808965574,,,goal,False,False,60,69.54725606102286,-7.989932522768585,11,4,0,0,0,0.9047145331124175,0.7094132492650745,0.0,0.0,0.0,0.6637251889004584,0.9281441149719935,2.474016315586184,0,,False,overtaking,28,0.0,False,0.0,development,54
model,overtaking,8.211625632198505,1.3168745938909003,42.119251002959714,,,goal,False,False,52,74.54247381794883,-5.98932337915188,2,0,4,0,0,0.5506053019751401,0.0,0.9066186484374824,0.0,0.0,0.7496539350951393,0.9156816460808553,1.521429320356373,0,,False,overtaking,4,0.0,False,0.0,development,55
model,overtaking,6.670301727029801,0.3400603298527174,7.027512676891249,,,goal,False,False,103,9.609931527404143,-21.172726175324676,24,0,5,0,5,3.3793245686300595,0.0,1.0028300912050057,0.0,0.1855291627261917,0.36906154894073984,0.5799900787498488,2.836296137846951,0,,False,overtaking,59,0.0,False,0.0,development,56
model,overtaking,5.356479981505558,1.932059312507918,-27.65618201104658,,,goal,False,False,65,78.9259788944114,-4.049813752702497,2,0,2,0,4,0.11467570331329685,0.0,0.5268160308838824,0.0,0.3523625133599336,0.5880884684869354,0.8666910634752131,1.8542049305259158,0,,False,overtaking,7,0.0,False,0.0,development,57
model,overtaking,5.304665427323811,0.44030408336962146,4.831096614044412,,,goal,False,False,71,53.4928098340308,-18.796353188108156,18,0,0,0,1,3.793953274254943,0.0,0.0,0.0,0.003618773454707814,0.5444022463464537,0.8998872481331995,2.462582609639398,0,,False,overtaking,54,0.0,False,0.0,development,58
model,overtaking,9.457641443617554,1.0041574093420087,-3.7205530514681655,,,goal,False,False,58,70.1853821610142,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.700235941742411,0.928069622396876,4.5113341293417415,0,,False,overtaking,19,0.0,False,0.0,development,59
model,being_overtaken,9.556232149411287,1.92980163272497,-35.482184391358615,,False,collision:boundary,True,False,47,-399.110269972249,-14.906648901597926,0,0,0,6,0,0.0,0.0,0.0,3.6806540497772655,0.0,0.8797180854193607,1.0078963810232349,2.549004460271548,0,,False,being_overtaken,9,0.0,False,0.0,development,60
model,being_overtaken,5.7479461611789,1.2685701234754871,-4.975120506914713,,False,collision:boundary,True,False,27,-383.50764236027794,-20.210866982291368,0,0,0,10,0,0.0,0.0,0.0,4.990337526491695,0.0,0.8365215539962446,0.9858801265556885,3.424524476225306,0,,False,being_overtaken,10,0.0,False,0.0,development,61
model,being_overtaken,7.111260720178818,0.5943612042954601,11.74966659039302,,True,goal,False,False,42,27.299220064599297,-8.2881317176925,0,0,0,4,0,0.0,0.0,0.0,2.046452275973456,0.0,0.8983208711668295,0.9827427499507669,3.6064209925938466,0,,False,being_overtaken,4,0.0,False,0.0,development,62
model,being_overtaken,9.924433511599638,0.247382364945814,2.173404297588206,,True,collision:boundary,True,False,48,-413.856242490049,-24.291062275254482,0,0,0,10,0,0.0,0.0,0.0,5.997793154383822,0.0,0.8583332040637724,1.0485488484860186,2.103455113726496,0,,False,being_overtaken,14,0.0,False,0.0,development,63
model,being_overtaken,7.777153961253272,1.1352069073367477,-20.99286861655304,,False,goal,False,False,43,-24.820713038942728,-38.00151498331437,0,0,0,14,0,0.0,0.0,0.0,9.383090119336883,0.0,0.8970773258489385,1.0326961215718933,2.8871019868118766,0,,False,being_overtaken,15,0.0,False,0.0,development,64
model,being_overtaken,9.472351939506785,0.33829237792301214,-9.672518700272335,,True,goal,False,False,41,17.210610345692686,-16.7706761338342,0,0,0,7,0,0.0,0.0,0.0,4.140907687366468,0.0,0.9334511451061909,1.0469237144289256,3.4377254535193225,0,,False,being_overtaken,7,0.0,False,0.0,development,65
