scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
21,24.0,-2.0172376565717514,0,none,,0,,15.633792267770671,-153.70727222464052,0
21,24.5,-1.585305318203723,0,none,,0,,16.1015163364051,-154.01917804571406,0
21,25.0,0.12753699243927485,0,none,,0,,16.56914564250702,-155.60398679550926,0
21,25.5,2.559626356194599,0,none,,0,,17.040623824885184,-157.8971695863276,0
24,0.0,0.0,0,none,,0,,9.564279376650635,25.594478427229802,0
24,0.5,-0.2980556554330178,0,none,,0,,9.025256521126492,25.069104352027637,0
24,1.0,-1.9690350075659353,0,none,,0,,8.460352486225133,25.93272996243968,0
24,1.5,-5.272530685363563,0,none,,0,,7.885798001996937,28.432815791712414,0
24,2.0,-10.269594393646457,0,none,,0,,7.303237816257693,32.68484480280728,0
24,2.5,-16.80147043638567,0,none,,0,,6.712847606559115,38.62998948279517,0
24,3.0,-23.112593295150646,0,none,,0,,6.1295577146417735,44.51909284640101,0
24,3.5,-26.705207627042228,0,none,,0,,5.557538896105485,47.818975894464415,0
24,4.0,-26.4628242013996,0,none,,0,,4.987105702901205,47.394513981405794,0
24,4.5,-22.625728148191683,0,none,,0,,4.40422017755887,43.449077636548566,0
24,5.0,-16.492719426193162,0,none,,0,,3.7964891851870926,37.18773000516342,0
24,5.5,-10.002150481228227,1,engaged,crossing,1,2.151087072420991,3.161840533500671,30.35355567932686,0
24,6.0,-4.885223204671888,1,engaged,crossing,1,1.6434659544736747,2.5060395088657113,24.392599455862126,0
24,6.5,-3.4317804308764153,1,engaged,crossing,1,0.9733893134255837,1.8371262286137198,21.220622263319342,0
25,0.0,0.0,0,none,,0,,9.683387201186727,17.726639838390298,0
25,0.5,-0.4745637172952115,0,none,,0,,9.162483200738269,18.254795969188137,0
25,1.0,-3.101929255981446,0,none,,0,,8.6108755694077,21.06368874618326,0
25,1.5,-8.272815719060418,1,engaged,crossing,1,6.609244023481562,8.045931934234147,26.602397123911544,0
25,2.0,-15.184837744160632,1,engaged,crossing,1,6.1167268598972,7.480642292003356,34.14284763241125,0
25,2.5,-22.676877274219805,1,engaged,crossing,1,5.513692117888935,6.9221174287999485,42.625161243687785,0
25,3.0,-28.921324910548492,1,engaged,crossing,1,4.615788145631997,6.379764277043837,50.2812276464723,0
25,3.5,-32.83462625612498,1,engaged,crossing,1,3.8637797162664254,5.8539644533413675,56.12673418683204,0
25,4.0,-34.192627528766195,1,engaged,crossing,1,3.221665629454299,5.339533265460401,60.123995143363175,0
25,4.5,-32.86130879540275,1,engaged,crossing,1,2.879820611497918,4.835298217464202,62.29055817063079,0
25,5.0,-29.16062561726659,1,engaged,crossing,1,2.420157400938291,4.340465564393534,63.13230108016404,0
25,5.5,-22.994927507073044,1,engaged,crossing,1,2.2611097069204344,3.8559207097137347,62.77713071738651,0
25,6.0,-14.788920392864839,1,engaged,crossing,1,1.8511068233015373,3.387817164947185,61.92988329583841,0
25,6.5,-6.055147996223695,1,engaged,crossing,1,1.5311808543750762,2.9529638675596495,62.49986485696314,0
25,7.0,1.8854000885913536,1,engaged,crossing,1,1.0800099352861174,2.5775838821664276,66.33780429723828,0
25,7.5,8.564201025323655,1,engaged,crossing,1,0.6128416822819379,2.2979365118902235,74.37930775804949,0
25,8.0,14.175829364401466,1,engaged,crossing,1,0.2183343165462315,2.157965903110032,86.15912682346749,0
25,8.5,19.160937526477653,1,clearing,crossing,1,-0.21201918900792577,2.1912435804147146,99.49142308422506,0
25,9.0,23.079603993097805,1,clearing,crossing,1,-0.582096829588739,2.3902292241620144,111.85314944908782,0
25,9.5,24.092390227570036,1,clearing,crossing,1,-1.1334652861617651,2.707314769300765,123.49700925110659,0
25,10.0,21.626056512009455,1,clearing,crossing,1,-1.815227793528536,3.1042452997885395,135.38423952996038,0
25,10.5,17.481462260936837,1,clearing,crossing,1,-2.370157724366807,3.5559696915605867,146.48731673636257,0
25,11.0,13.811796483988417,1,clearing,crossing,1,-3.0256426498460356,4.039335541569145,155.32156998548447,0
25,11.5,11.358358244698195,1,clearing,crossing,1,-3.0745843124853005,4.542229315868728,161.71363326608036,0
25,12.0,10.255738109022218,1,clearing,crossing,1,-3.8838857969176113,5.05487090289304,165.90986525876292,0
25,12.5,10.327384884195197,1,idle,none,0,-4.3456303420010745,5.57307885874045,168.35088406770262,0
25,13.0,11.243468884670193,1,idle,none,0,-4.621599422813553,6.099665438247838,169.54444204719607,0
25,13.5,12.537407331612883,1,idle,none,0,-5.208391746023737,6.6258980159790966,170.04893359195358,0
25,14.0,13.506566851481011,1,idle,none,0,-6.310789040746774,7.147411381111667,170.62623270205887,0
25,14.5,13.672652600649315,1,idle,none,0,-6.104611205984737,7.669847017633144,171.7993124802718,0
25,15.0,12.708052210484368,1,idle,none,0,-7.362077491621574,8.192958329457948,173.91471075976153,0
25,15.5,11.007232583559642,1,idle,none,0,-6.732986926594305,8.714731264976894,176.59734266384567,0
25,16.0,8.871504959488249,1,idle,none,0,-8.99173926641381,9.232829033161257,179.56887494175157,0
25,16.5,6.55265468870823,1,idle,none,0,-9.291929862893525,9.751128709926624,-177.4020704518506,0
25,17.0,4.1150149952060815,1,idle,none,0,-8.780103193607614,10.274002605705723,-174.3646736594947,0
25,17.5,1.7569904480329228,1,idle,none,0,-9.202580439775497,10.79743236562788,-171.5032970613777,0
25,18.0,0.12463164460413623,1,idle,none,0,-10.456894192384082,11.320710474352571,-169.4429091547928,0
25,18.5,-0.5873697857255422,1,idle,none,0,-10.826885170112153,11.846516519915452,-168.36063678791126,0
25,19.0,-0.5135136923973391,1,idle,none,0,-10.536558612101635,12.373635346663907,-168.105300592211,0
25,19.5,0.005492217310148817,1,idle,none,0,-10.683598320300032,12.899908752234428,-168.32339454066687,0
25,20.0,0.7092258036333021,1,idle,none,0,-12.74970347747603,13.42453563394985,-168.74749658704334,0
25,20.5,1.4561346503534196,1,idle,none,0,-13.945775504791934,13.949984538377866,-169.2336044999733,0
25,21.0,2.1156223596408665,1,idle,none,0,-13.802914214949224,14.480775033997093,-169.65238985947724,0
