scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
24,28.0,-6.18040433315673,0,none,,0,,23.072102733697292,-130.41431217062012,0
24,28.5,-4.626288299122621,0,none,,0,,23.675955734601697,-132.23455148864122,0
25,0.0,0.0,0,none,,0,,9.683387201186727,17.726639838390298,0
25,0.5,-0.025836869746768798,0,none,,0,,9.180116172467896,17.7637827367235,0
25,1.0,-0.15914694428713005,0,none,,0,,8.676420622530816,17.913091004081224,0
25,1.5,-0.40857185214650826,1,engaged,crossing,1,7.961485726701177,8.171711665667242,18.187804913851608,0
25,2.0,-0.5545916096786812,1,engaged,crossing,1,7.311237863208816,7.667747119489433,18.363698969653257,0
25,2.5,-0.5643844348404627,1,engaged,crossing,1,6.893734276165717,7.166823664229029,18.39971349021431,0
25,3.0,0.48476509106370713,1,engaged,crossing,1,6.251479501750951,6.658746116520542,17.377375934372935,0
25,3.5,3.598002493040809,1,engaged,crossing,1,5.167150587291964,6.139210658052871,14.245356907675074,0
25,4.0,8.48529024421623,1,engaged,crossing,1,4.542826271728324,5.617513616008636,9.201312691852849,0
25,4.5,14.54178853898884,1,engaged,crossing,1,4.150972206342317,5.08254035464352,2.777764021338612,0
25,5.0,21.375143534594542,1,engaged,crossing,1,3.5234867105799004,4.516229104092901,-4.7731251375172405,0
25,5.5,27.590911926581924,1,engaged,crossing,1,2.995824021986235,3.924914719795459,-12.31137639819292,0
25,6.0,32.29403938840579,1,engaged,crossing,1,2.2947326226608693,3.3172253588846656,-19.318295176665885,0
25,6.5,36.33640683067463,1,engaged,crossing,1,1.7888383396047252,2.7048731485549964,-27.373442653176483,0
25,7.0,40.65797480835508,1,engaged,crossing,1,1.2123863760258327,2.111593176758541,-38.94311430864076,0
25,7.5,45.53393454104895,1,engaged,crossing,1,0.7661722003973472,1.5911421870856377,-57.50477636704437,0
25,8.0,50.5041010336015,1,engaged,crossing,1,0.47638736595667286,1.2672488119957737,-87.18723370517498,0
25,8.5,53.27671979360949,1,clearing,crossing,1,-0.125466640447035,1.2971152004406747,-120.50972298792588,0
25,9.0,50.924880649027784,1,clearing,crossing,1,-0.6579275225843074,1.6241777027851438,-140.675766270215,0
25,9.5,43.58019107561353,1,clearing,crossing,1,-1.0570647248077574,2.091106837806311,-147.1215023478196,0
25,10.0,33.56102909134151,1,clearing,crossing,1,-1.6476480638424134,2.6060379711274475,-145.97224518104485,0
25,10.5,23.252994555583626,1,clearing,crossing,1,-2.006471546488193,3.124040291241542,-141.8156887733303,0
25,11.0,14.264417201005557,1,clearing,crossing,1,-2.961463172708334,3.625838616917804,-137.32068676551668,0
25,11.5,7.141498042545976,1,clearing,crossing,1,-2.866409707228137,4.109603564954281,-133.66555233068988,0
25,12.0,1.785702605652176,1,clearing,crossing,1,-4.065776202565515,4.578805226948172,-131.12702282992598,0
25,12.5,-2.2029248221855084,1,clearing,crossing,1,-4.3156716894871225,5.040838326308858,-129.57316191667195,0
25,13.0,-5.41536675890552,1,clearing,crossing,1,-3.9036708297155274,5.508183444831378,-128.65211523994742,0
25,13.5,-8.375784199011491,1,idle,none,0,-4.346304584345339,5.982260300775328,-127.88043144253749,0
25,14.0,-11.38737997521116,1,idle,none,0,-5.10671008121508,6.458014541711448,-126.9227164201231,0
25,14.5,-14.681128039186092,1,idle,none,0,-4.973388695189663,6.935394400444761,-125.58750776043257,0
25,15.0,-18.3434634046788,1,idle,none,0,-5.604476260908399,7.4116023681791265,-123.79619449727898,0
25,15.5,-22.31922499602365,1,idle,none,0,-5.117803424491329,7.883366580018551,-121.608493595955,0
25,16.0,-26.50483479243985,1,idle,none,0,-6.867108780637457,8.347825099477706,-119.1330893067364,0
25,16.5,-30.827478360891178,1,idle,none,0,-7.3457950152361615,8.804915271830076,-116.47829896286567,0
25,17.0,-35.30449580641442,1,idle,none,0,-6.773227793075623,9.254525326513356,-113.65735300100141,0
25,17.5,-39.830143456436815,1,idle,none,0,-7.364239992030406,9.692361368381297,-110.74874876824299,0
25,18.0,-44.09283226619402,1,idle,none,0,-7.955919233870646,10.117533148004274,-108.07060804580351,0
25,18.5,-47.69107325957515,1,idle,none,0,-7.961220060746488,10.532224349404057,-106.05113046248698,0
25,19.0,-50.12643719667045,1,idle,none,0,-8.816241325046652,10.93691223435651,-105.14533191669051,0
25,19.5,-50.96163387768661,1,idle,none,0,-8.921818736842372,11.334498540167818,-105.75015144762438,0
25,20.0,-49.64823529747321,1,idle,none,0,-10.3168570391776,11.731826535126013,-108.40156718154935,0
25,20.5,-45.99920768129175,1,idle,none,0,-10.977086826396686,12.137150587186047,-113.27429142421892,0
25,21.0,-40.405295618858645,1,idle,none,0,-10.874949533460756,12.557730211818436,-119.97061148716563,0
25,21.5,-33.618500300145115,1,idle,none,0,-11.350949320221552,12.995165531274365,-127.71411843079647,0
25,22.0,-26.646289602267757,1,idle,none,0,-11.190416078891559,13.445369657613607,-135.4839895728544,0
25,22.5,-20.261624446644646,1,idle,none,0,-13.163963127294851,13.902322376547977,-142.51117043763895,0
25,23.0,-14.910283892509256,1,idle,none,0,-13.651911897149118,14.363095531520436,-148.3707163114821,0
25,23.5,-10.755150698309762,1,idle,none,0,-14.788095287633901,14.826114503564462,-152.92343862598784,0
25,24.0,-7.676366121697129,1,idle,none,0,-16.054817705425773,15.295142118281989,-156.31801634382282,0
25,24.5,-5.4438167115336,1,idle,none,0,-16.098928683056233,15.77088328110073,-158.8017874728797,0
25,25.0,-4.145492424206395,1,idle,none,0,-17.030780292011425,16.247110121985774,-160.29423863083287,0
25,25.5,-3.5124119536044702,1,idle,none,0,-17.626603271903633,16.724266603423505,-161.07961391850827,0
25,26.0,-3.0722606462612703,1,idle,none,0,-19.842161494780193,17.20399056667491,-161.64038387226535,0
