policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
compliant,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,,goal,False,False,82,74.97821635836891,-6.3987093074343235,7,0,0,0,4,1.023101070003575,0.0,0.0,0.0,0.2965242246481394,0.5154752755018984,0.5571736970491616,2.306371218628367,0,,False,head_on,23,0.0,False,0.0,9
compliant,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,,collision:target,True,True,29,-303.1744471413647,-21.129447639106218,6,0,16,0,2,2.120274082674111,0.0,2.868865158369328,0.0,0.06803919105328773,0.5280489639928884,0.5594307953305302,1.7987186676432636,0,,False,head_on,23,0.0,False,0.0,10
compliant,head_on,7.958885684444756,0.5220743990799206,173.00682712496027,,,,collision:boundary,True,False,110,-815.2350484668557,-13.948560246600122,6,0,4,0,6,1.9014293200677213,0.0,0.43155117262150267,0.0,0.6628668646283316,0.5091030554859707,0.5580318232465658,1.4766650241712311,0,,False,head_on,26,0.0,False,0.0,11
compliant,crossing,4.667290875464451,1.7227470900651785,236.13301209616918,starboard,,True,goal,False,False,69,178.5425420299565,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5440198397180602,0.5573501625469612,1.7708838343852291,0,,False,never,0,0.0,False,0.0,12
compliant,crossing,3.7739332766476075,1.173528774453069,270.329950237396,starboard,,True,collision:target,True,True,21,-283.4341242925125,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5537053401114708,0.5578085634175971,1.348064988355089,0,,False,never,0,0.0,False,0.0,13
compliant,crossing,6.835819471068554,1.5587616535741629,95.48905312983425,port,,True,goal,False,False,72,138.79818807233048,-3.375243879522636,0,0,0,0,5,0.0,0.0,0.0,0.0,0.7500541954494746,0.5272156894392803,0.5572583526848081,2.296132133447423,0,,False,crossing,10,1.0,True,0.0,14
compliant,crossing,8.158253975323385,0.44228992836946146,258.61746858688855,starboard,,True,collision:target,True,True,16,-308.7690690113278,-18.485189089776544,1,3,0,0,7,0.03354718561095169,1.3885829706301072,0.0,0.0,2.543476625862955,0.5153235774397418,0.5594631511163609,1.2187615181485665,0,,False,crossing,14,0.0,False,0.0,15
compliant,crossing,9.79861013596842,0.44328075371819986,82.03474253870037,port,,True,goal,False,False,72,106.92720179685901,-16.38529905947577,6,3,0,0,3,1.7387841867284997,1.2434809087097909,0.0,0.0,0.3606859637902725,0.5339604688963643,0.5577424381101519,1.7164975015714852,0,,False,crossing,18,1.0,True,0.0,16
compliant,crossing,6.794447015498243,0.5473514842917628,131.07964188304754,port,,True,collision:boundary,True,False,130,-1429.4011798778376,-7.859787313343759,0,2,0,0,5,0.0,0.08483254372868881,0.0,0.0,1.6533036048637217,0.4116819663020965,0.5576976817533756,2.0504981596650533,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.70 m, TCPA 4.3 s)",False,crossing,19,1.0,True,0.0,17
compliant,crossing,4.54979421904873,1.3867036468224696,202.19120555738766,starboard,,True,collision:boundary,True,False,53,-655.2009531298661,-13.164632682777526,0,1,0,0,7,0.0,0.4782307081268772,0.0,0.0,2.3994201505665522,0.3458960270430346,0.5845064406764784,1.148713675474693,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.83 m, TCPA 3.1 s)",False,crossing,9,0.0,False,0.0,18
compliant,crossing,9.679268550899316,0.5087939358206104,67.81442945798263,port,,True,collision:target,True,True,22,-295.4909550320492,-8.477204495010671,1,0,0,0,6,0.010721210781201758,0.0,0.0,0.0,1.872029889254161,0.525305350158194,0.55802646072397,1.4818794313401888,0,,False,crossing,13,1.0,True,0.0,19
compliant,crossing,6.058594996054423,0.9795735001537526,250.52553445208008,starboard,,True,collision:target,True,True,22,-280.89096417149483,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5607433100577942,0.5619440045950803,1.3124347888937988,0,,False,never,0,0.0,False,0.0,20
compliant,crossing,5.474427570062953,0.4460543842171416,107.4313409364459,port,,True,collision:target,True,True,15,-286.6810813136574,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5510267745929841,0.5586253447229588,1.379952514045523,0,,False,never,0,0.0,False,0.0,21
compliant,crossing,3.9950540465771436,1.7781064429160531,255.25704639569454,starboard,,True,goal,False,False,67,183.70081967886512,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5625218260792993,0.5632409769890998,1.7621179092455113,0,,False,never,0,0.0,False,0.0,22
compliant,crossing,7.735291501066443,0.8388778432043928,94.48823574345055,port,,True,goal,False,False,71,96.79198011067665,-18.577090379276065,6,4,0,0,6,1.3739301650765243,1.3157884250589555,0.0,0.0,1.1695518573567654,0.5404147114041331,0.5583283075961795,1.9734373028774324,0,,False,crossing,18,1.0,True,0.0,23
compliant,overtaking,9.556232149411287,0.16856401487441053,1.6101026039999748,,,,collision:boundary,True,False,106,-438.43213856455435,-9.04045858120204,11,0,2,0,5,1.3907476036715418,0.0,0.2881858173485884,0.0,0.24861977790510909,0.504122765366153,0.5574761059513698,3.1880588286132197,0,,False,overtaking,28,0.0,False,0.0,24
