policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario,start,who
follower,overtaking,5.356479981505558,1.932059312507918,-4.09721214978468,,,,goal,False,False,83,63.43473865241143,-71.87407632290508,0,1,44,0,30,0.0,0.00869021363011638,15.759977943920894,0.0,3.354475370515726,0.4533779847054998,0.5399481769646783,2.15889839407645,0,,False,overtaking,44,0.0,False,0.0,57,rest,follower
follower,overtaking,5.304665427323811,1.4300146119796155,8.955640423640077,,,,goal,False,False,80,58.994417569876646,-84.60526349494836,0,16,42,0,27,0.0,2.3417094564052237,9.67406975601282,0.0,8.486033458688077,0.473697120870572,0.5598349248293815,1.0096079107519813,0,,False,overtaking,42,0.0,False,0.0,58,rest,follower
follower,overtaking,9.457641443617554,1.0041574093420087,-0.5511930446619502,,,,goal,False,False,81,114.7461886422306,-20.473770979450226,0,3,4,0,17,0.0,0.2948851976568114,0.4634777660228555,0.0,3.854570954081496,0.46259605030428685,0.5502745720325208,0.9796370372023602,0,,False,overtaking,34,0.0,False,0.0,59,rest,follower
follower,being_overtaken,9.556232149411287,1.8516685154475563,5.892331698869267,,False,,collision:obstacle,True,False,51,-331.64143074941285,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4037042870891348,0.5464724006828519,2.3656022695847163,0,,False,being_overtaken,8,0.0,False,0.0,60,rest,follower
follower,being_overtaken,5.7479461611789,1.6904407083818338,-2.5233037070053843,,False,,collision:obstacle,True,False,52,-323.032055200963,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.41815128548389197,0.5242616078571309,1.952052836401739,0,,False,being_overtaken,9,0.0,False,0.0,61,rest,follower
follower,being_overtaken,7.111260720178818,1.6591462177952323,5.798605650555382,,False,,collision:obstacle,True,False,42,-339.89125137551,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.37954077146073895,0.5500582930016975,2.2391651591091346,0,,False,being_overtaken,9,0.0,False,0.0,62,rest,follower
follower,being_overtaken,9.924433511599638,1.8595356156267682,-5.761505074223892,,False,,collision:obstacle,True,False,51,-332.5773499963602,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.39866744242433294,0.5358070711280511,2.3611730646542104,0,,False,being_overtaken,8,0.0,False,0.0,63,rest,follower
follower,being_overtaken,7.777153961253272,1.4989473412166083,5.817347188610187,,False,,collision:obstacle,True,False,47,-339.18661743210987,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3877901624675576,0.5345857302653307,2.0816379505966918,0,,False,being_overtaken,9,0.0,False,0.0,64,rest,follower
follower,being_overtaken,9.472351939506785,1.9738570974627374,7.020402118408914,,False,,goal,False,False,81,135.07707346082643,-5.27301877657685,0,0,0,4,0,0.0,0.0,0.0,1.3019799448337903,0.0,0.46229347634574147,0.5515558003955761,2.742371680462408,0,,False,being_overtaken,8,0.0,False,0.0,65,rest,follower
follower,being_overtaken,6.791254452278463,1.5734762792775023,4.906307916812494,,False,,collision:obstacle,True,False,51,-328.7913535125063,-5.031618516416701,0,0,5,0,0,0.0,0.0,1.3976718101157504,0.0,0.0,0.41006673050843456,0.5468329686375846,2.1630597434092356,0,,False,being_overtaken,15,0.0,False,0.0,66,rest,follower
follower,being_overtaken,7.618572716555467,0.56048132483702,9.634710761628313,,True,,collision:obstacle,True,False,48,-329.74364235708833,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4041876224268044,0.5479543339624335,1.424886418720622,0,,False,being_overtaken,8,0.0,False,0.0,67,rest,follower
follower,being_overtaken,8.61263148724731,1.404032640487198,-3.382325262425738,,False,,goal,False,False,81,140.31638928497813,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4622395726924811,0.5520996589629661,1.7882782076433947,0,,False,being_overtaken,9,0.0,False,0.0,68,rest,follower
follower,being_overtaken,7.715636756725871,1.4454487561777294,5.5446980820429825,,False,,collision:obstacle,True,False,54,-327.9100704556945,-8.215629271039445,0,0,4,0,4,0.0,0.0,1.0286645262987275,0.0,1.002763772525339,0.42130076704839087,0.564707846908501,1.9509889827975566,0,,False,being_overtaken,11,0.0,False,0.0,69,rest,follower
follower,being_overtaken,7.643066319700785,1.904501364148537,4.629622213453132,,False,,goal,False,False,80,147.146795427479,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.47356096861647207,0.5536436220785674,2.297769860112982,0,,False,being_overtaken,8,0.0,False,0.0,70,rest,follower
follower,being_overtaken,7.958885684444756,1.982710486307465,9.96521668439594,,False,,goal,False,False,81,134.11238349917124,-6.207558089161099,0,0,0,6,0,0.0,0.0,0.0,1.5327303923854565,0.0,0.4622518127780675,0.5505071214132329,2.8664740058596268,0,,False,being_overtaken,6,0.0,False,0.0,71,rest,follower
follower,being_overtaken,8.919597231476935,1.87257929162381,2.993931110256792,,False,,collision:obstacle,True,False,53,-326.32545287336086,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4095651795520505,0.5392383690347629,2.1913542540749504,0,,False,being_overtaken,8,0.0,False,0.0,72,rest,follower
follower,being_overtaken,6.8745535936065325,1.7462657111291175,-8.88513336617301,,False,,collision:obstacle,True,False,41,-337.429906550395,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3769733828532552,0.5345489181841359,2.5530115254999077,0,,False,being_overtaken,8,0.0,False,0.0,73,rest,follower
follower,being_overtaken,7.392424952880393,1.5363389434046424,-5.05426633209524,,False,,goal,False,False,81,142.36697074007955,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.46535799966659336,0.5568574950043654,2.0936281455395593,0,,False,being_overtaken,8,0.0,False,0.0,74,rest,follower
follower,being_overtaken,8.211625632198505,1.875489588308004,0.25446250814855453,,False,,goal,False,False,81,141.45579219827061,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4639707883034524,0.5550504009367998,1.9030823905992433,0,,False,being_overtaken,9,0.0,False,0.0,75,rest,follower
follower,being_overtaken,6.670301727029801,1.9755597225591721,9.402902688460479,,False,,collision:obstacle,True,False,41,-340.08636506327736,-5.160250674558723,0,0,0,4,0,0.0,0.0,0.0,1.2741359690268452,0.0,0.37895827380857966,0.5401817632624635,2.7790592213510985,0,,False,being_overtaken,8,0.0,False,0.0,76,rest,follower
follower,being_overtaken,5.356479981505558,1.576932168108137,4.511814481422334,,False,,goal,False,False,82,139.45468924462494,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4602313821864419,0.5474105501312891,2.132630640698762,0,,False,being_overtaken,10,0.0,False,0.0,77,rest,follower
follower,being_overtaken,5.304665427323811,1.89055549279566,4.230252884692726,,False,,goal,False,False,81,140.6672877957278,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4627676450031727,0.5542000861574223,2.4038766309551622,0,,False,being_overtaken,10,0.0,False,0.0,78,rest,follower
follower,being_overtaken,9.457641443617554,1.8255296863556782,7.514933632708885,,False,,goal,False,False,82,113.67306368573915,-2.197189478661667,0,0,0,3,0,0.0,0.0,0.0,0.5425159206572018,0.0,0.4596228612186204,0.5473604166592381,2.6059157210416117,0,,False,being_overtaken,9,0.0,False,0.0,79,rest,follower
follower,null,9.556232149411287,0.3549204557349615,4.39460585019685,,,,collision:obstacle,True,False,43,-333.4307968578464,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.39171269227169214,0.555494640872368,8.243385889309085,0,,False,never,0,0.0,False,0.0,80,rest,follower
follower,null,7.111260720178818,4.098204589788674,0.7798740741336943,,,,collision:obstacle,True,False,49,-334.75317535567996,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3990042879839614,0.5492257768139837,9.19837596708476,0,,False,never,0,0.0,False,0.0,81,rest,follower
follower,null,9.924433511599638,6.062334617550908,-2.036564089612069,,,,collision:obstacle,True,False,36,-337.51563740034163,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.36969062540335723,0.5240321475426111,8.97030125743525,0,,False,never,0,0.0,False,0.0,82,rest,follower
follower,null,7.777153961253272,8.559003963480428,7.264527238106524,,,,goal,False,False,82,99.11552807977264,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4604875013548623,0.5276229639017913,8.903251231375028,0,,False,never,0,0.0,False,0.0,83,rest,follower
follower,null,9.472351939506785,9.596358425588157,-3.940947096756009,,,,collision:obstacle,True,False,40,-329.2901357300037,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3920629395767376,0.5504412463915003,10.083051500536572,0,,False,never,0,0.0,False,0.0,84,rest,follower
follower,null,8.61263148724731,1.9887933450307789,-1.1270768060442258,,,,collision:obstacle,True,False,40,-336.77817999667127,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.37688445727533626,0.5431667409514489,9.598673317604646,0,,False,never,0,0.0,False,0.0,85,rest,follower
follower,null,7.715636756725871,2.762014081009041,-0.40637360625555274,,,,collision:obstacle,True,False,37,-345.00271334658333,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.36094093190545756,0.5369421178231395,11.065554565995415,0,,False,never,0,0.0,False,0.0,86,rest,follower
follower,null,7.643066319700785,6.330355979488411,5.301646114803592,,,,goal,False,False,80,99.84604810787656,-2.1433695749805493,0,1,2,0,0,0.0,0.0748990492417008,0.49239424478725835,0.0,0.0,0.4700435841595123,0.561632775696026,10.458296673190008,0,,False,overtaking,2,0.0,False,0.0,87,rest,follower
follower,null,7.958885684444756,4.951431692942184,6.252128618956611,,,,collision:obstacle,True,False,38,-340.1969054649766,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.36302181253824384,0.5297519524299794,8.525061463242892,0,,False,never,0,0.0,False,0.0,88,rest,follower
follower,null,8.919597231476935,0.626960535485727,-3.3771176787976476,,,,goal,False,False,83,73.18500752061756,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4560355496161197,0.5470151594458912,8.797115808648181,0,,False,never,0,0.0,False,0.0,89,rest,follower
follower,null,7.392424952880393,0.37408620081980476,0.7022053571200253,,,,goal,False,False,79,97.41378066475801,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.47696900435389417,0.5545435167951354,10.041294440688805,0,,False,never,0,0.0,False,0.0,90,rest,follower
follower,null,8.211625632198505,1.93888858249201,-1.3615912338901808,,,,collision:obstacle,True,False,29,-349.9154513976349,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3097946287188928,0.5045185412077231,10.490442809124257,0,,False,never,0,0.0,False,0.0,91,rest,follower
follower,null,9.457641443617554,10.004690033584042,9.415486285425988,,,,goal,False,False,81,141.5310745345743,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4647568262110414,0.5611185346631231,10.35000398121792,0,,False,never,0,0.0,False,0.0,92,rest,follower
follower,null,7.939459934530462,7.476427947356887,3.8322546318339885,,,,collision:obstacle,True,False,39,-348.02061118127244,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3603465497424557,0.5341050257868645,8.843521251404129,0,,False,never,0,0.0,False,0.0,93,rest,follower
follower,null,7.215085798855989,2.7182057261496078,-0.19104598519173344,,,,collision:obstacle,True,False,42,-328.75969786436406,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.39796064579132323,0.5500044533895299,8.860183421773284,0,,False,never,0,0.0,False,0.0,94,rest,follower
follower,null,8.956662509461438,5.673113485616097,6.037207914043499,,,,collision:obstacle,True,False,35,-344.44595123772353,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3431515989816067,0.5197912868831143,8.585180019223122,0,,False,never,0,0.0,False,0.0,95,rest,follower
follower,null,7.341087164074281,4.050003896849897,-0.4719636139186445,,,,collision:obstacle,True,False,25,-358.3313944494414,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2796787587778606,0.4616967881030778,9.72287575536754,0,,False,never,0,0.0,False,0.0,96,rest,follower
follower,null,8.017900515989506,7.956631424829709,2.2392977017838227,,,,collision:obstacle,True,False,42,-338.2553653874805,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3724700903440778,0.5215347368391505,8.709515666341957,0,,False,never,0,0.0,False,0.0,97,rest,follower
follower,null,7.7229461986988115,8.603862173067107,5.171725639694904,,,,goal,False,False,81,140.548270456517,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.46259778476727564,0.5513196094878268,9.427153895135442,0,,False,never,0,0.0,False,0.0,98,rest,follower
follower,null,7.3766880761663485,2.173235525894135,-0.6741613811790081,,,,goal,False,False,82,136.4279373032269,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.45567800777323914,0.5420866695444957,9.012724358550688,0,,False,never,0,0.0,False,0.0,99,rest,follower
follower,no_target,9.556232149411287,0.0,0.0,,,,collision:obstacle,True,False,38,-343.957584667931,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3551343568705632,0.5157404240766521,inf,0,,False,never,0,0.0,False,0.0,100,rest,follower
follower,no_target,5.7479461611789,0.0,0.0,,,,collision:obstacle,True,False,46,-335.3598119318878,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.38768525763212064,0.5395243891566217,inf,0,,False,never,0,0.0,False,0.0,101,rest,follower
follower,no_target,7.111260720178818,0.0,0.0,,,,collision:obstacle,True,False,33,-348.6300695881557,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3371101844576986,0.5101429235644872,inf,0,,False,never,0,0.0,False,0.0,102,rest,follower
