tag,width,outcome,stbd_admissible,peak_stbd,peak_port,first_turn_t,first_turn_dir,min_range,speed_at_min
run11s0,8,goal,True,34.37247758184941,41.291307174713495,3.0,stbd,1.6540763475681821,0.8465314691297966
run11s0,7,goal,False,30.021236489571862,32.72813138722006,4.5,stbd,2.0099634232183194,0.8304892043917369
run11s0,8,goal,True,29.590135626123924,21.96162898515979,2.5,stbd,3.3198022919653294,0.6440892357150798
run11s0,8,goal,True,41.80088684642715,44.702997320527174,3.5,stbd,0.842587092400795,0.8953205355914019
run11s0,8,goal,True,24.25920134900275,22.837934448800297,3.0,stbd,2.8256929483360924,0.6934524907821349
run11s0,8,goal,True,39.913329603512096,46.324365537244375,4.0,stbd,1.611488963330942,0.850356642261754
run11s0,8,collision:target,True,29.323178342390037,0.0,4.0,stbd,0.772091858066048,0.8208968375070866
run11s0,8,goal,True,22.03566023089516,24.749349835261683,4.0,stbd,2.7446437533880226,0.770901724049375
run11s0,8,goal,True,28.34638929791396,32.110755929871345,7.0,stbd,2.0141640738459112,0.8169440912701816
run11s0,10,goal,True,38.73147092520256,39.75976486632794,3.5,stbd,1.9171902127882783,0.8371760274525787
run11s0,10,goal,True,21.43097075031963,24.767586552658713,3.0,stbd,2.912910396813772,0.6662648422751647
run11s0,10,goal,True,34.93421103837642,46.10703070809063,3.0,stbd,1.7653915003885339,0.8904644731327809
run11s0,10,goal,True,37.047843737447465,38.33006322334671,3.0,stbd,1.6996268389855367,0.8105661636658902
run11s0,8,goal,True,32.91421571916172,37.90531107862893,4.0,stbd,2.130935760979282,0.8496034061450588
run11s0,10,goal,True,34.74864752014193,45.291152804068076,3.5,stbd,1.631770780366568,0.8880685286767184
run11s0,10,goal,True,34.56525409699864,38.4828263907126,3.0,stbd,1.7790217654632514,0.7632118159649429
run11s0,10,goal,,15.891872272958665,15.601262631095324,3.0,stbd,3.324217324223674,0.7003799613479078
run11s0,10,collision:target,True,40.9660654405331,0.0,3.0,stbd,0.9998762095299919,0.6427170476415005
run11s0,10,goal,True,24.51983762614836,32.43540181432684,2.5,stbd,2.7195232188044445,0.7127964888234097
run11s0,10,goal,True,48.74752529285587,46.627645697571666,3.5,stbd,0.7952286649209943,0.7029827949937829
run11s0,10,goal,True,35.864951937616496,35.02334311175929,3.5,stbd,1.629545758894154,0.8600634153982878
run11s0,10,goal,False,38.40264560197559,33.04943260841043,7.5,stbd,1.827898836236978,0.8150183722002747
run11s0,10,goal,True,24.793089707857632,24.099881900193395,2.0,stbd,3.448580989008289,0.6303247839438421
run11s0,10,goal,True,38.644408465213616,43.37824788948831,3.0,stbd,1.1686902008945383,0.8454197570225087
run11s0,10,goal,True,23.597821436218908,22.29200907666268,3.0,stbd,3.0288984218495387,0.6821552473345645
run11s0,10,goal,True,34.97475412521814,35.36769558842599,3.0,stbd,1.7406134461290603,0.811764842755671
run11s0,10,goal,True,36.07523380429558,43.57103374123909,3.5,stbd,0.985300009672283,0.806410834064399
run11s0,10,goal,True,21.197333454858637,17.87855859021124,3.5,stbd,2.8173375675743806,0.6741186875756219
run11s0,10,goal,True,21.993777318056573,30.461632674837972,4.0,stbd,2.2085396118068013,0.7767537807130984
run12s0,5,goal,True,27.95652751862616,28.281169159799617,2.0,port,2.2009356040806014,0.9481730826096088
run12s0,5,collision:boundary,True,40.58069784940673,26.795296242245172,2.0,port,2.4506025286841138,0.8694113416902808
run12s0,5,collision:target,True,39.439133818463944,25.20265933610949,2.0,port,1.5094893806545195,0.26631124561409236
run12s0,5,collision:target,True,40.10512315804962,25.545421621711398,2.0,port,1.320655764021859,0.43102837107516
run12s0,5,goal,False,29.627487155862582,34.03980166767025,2.0,port,1.0140390919994113,0.6700897472388218
run12s0,5,goal,True,27.385810317355606,23.858784406221048,2.0,port,2.160200457475622,0.9571023823196472
run12s0,5,goal,False,37.959333503942446,32.75539103600482,2.0,port,1.1921045858869008,0.9069898740322446
run12s0,5,goal,False,30.98988402008729,32.02295029819351,2.0,port,3.1032254498917027,0.7889441016664934
run12s0,5,goal,False,30.45108302932391,33.44563622787484,2.0,port,1.5362718908469812,0.8773183451779023
run12s0,5,goal,True,36.29010791433342,33.77489901518868,2.0,port,1.7044397695614921,0.7821325279689597
run12s0,5,goal,True,29.18901083200052,27.033508974534698,2.0,port,2.7241970846271717,0.9398340648720909
run12s0,5,goal,True,37.24847755719003,29.624907833082716,2.0,port,1.6343081165329454,0.9713676090671061
run12s0,5,goal,False,34.97186516391821,40.08508482789358,2.0,port,1.26023624133216,0.747203357925518
run12s0,5,goal,True,37.699077663047404,29.681975985068107,2.0,port,1.8889466791405152,0.8508017436502747
run12s0,5,goal,True,33.39972701824814,30.980898075713128,2.0,port,2.8764146514748328,0.8913178636132556
run12s0,5,goal,False,39.31380205031482,37.39868718862334,2.0,port,2.362998973378216,0.8281473317818929
run12s0,5,collision:target,True,21.718959179941407,25.789979769192996,2.0,port,1.723152119275788,0.7905398915985755
run12s0,5,goal,True,36.94971554381178,31.06693640611661,2.0,port,2.7967240543067495,0.9674367184294022
