src,case,side,response,engaged,sense,trigger_step,steps_after,outcome,min_range,vport_frames,heading_dev_3s,pre_return,dcpa,tcpa,ct,u_pf,d_pf,u_prog,d_prog,u_exist,d_exist,u_smooth,d_smooth,u_obs,d_obs,u_bnd,d_bnd,u_dom,d_dom,u_col,d_col,u_terminal,d_terminal,u_total,d_total
dev,8,port,stand_on,True,-1,3.0,11,target,1.7740798348736135,0,-0.7347138469496599,1.4558108329805004,0.23622966892240083,8.507879150870341,151.61089879673176,-0.011119527677586727,-0.009190254115801993,15.838234667983054,12.583668119075787,-2.75,-2.1661175391763514,-0.02363715985522376,-0.017555124662556532,0.0,0.0,0.0,0.0,-3.7675457102257868,-2.3342405788344767,-30.846173355780135,-23.987957890369533,-300.0,-181.50182014126085,-321.5602410855557,-197.43321340934378
dev,8,port,compliant_30,True,-1,3.0,71,goal,1.1914602878783076,0,-22.996796806572434,1.4558108329805004,0.23622966892240083,8.507879150870341,151.61089879673176,-41.05737975226658,-10.096322239103571,97.85093005395704,26.426851840339253,-17.75,-4.957075485029767,-5.120149948902157,-2.612313143072876,0.0,0.0,0.0,0.0,-0.04108315120675047,-0.021318211617415875,-13.038455621553915,-10.53457383712045,100.0,2.9670038450977003,120.84386158002764,1.1722527694928733
dev,8,port,wrong_30,True,-1,3.0,13,target,1.2120240576408743,0,22.371735035685447,1.4558108329805004,0.23622966892240083,8.507879150870341,151.61089879673176,-4.614415324282584,-2.8944723134703474,17.03760957049756,13.145977869517239,-3.25,-2.4467453872682734,-3.2678585129662583,-2.1559388951006575,0.0,0.0,0.0,0.0,-0.05355414203635177,-0.02930250454272814,-65.1744412820497,-49.455337917516594,-300.0,-164.14699271722827,-359.3226596908373,-207.98281186560962
dev,8,port,compliant_60,True,-1,3.0,86,goal,1.2911794252908926,0,-23.00110349105455,1.4558108329805004,0.23622966892240083,8.507879150870341,151.61089879673176,-126.93318550170746,-20.245316963456023,103.01475656020743,23.46814635816932,-21.5,-5.033273687417616,-4.798193819504592,-1.7056157905147864,0.0,0.0,0.0,0.0,-0.008786487154507657,-0.004429033511829954,-9.371322008814339,-8.595519730497566,100.0,1.3962323750362355,40.40326874302654,-10.719776472192263
dev,8,port,wrong_60,True,-1,3.0,13,target,1.2102672382236175,0,22.372656931972813,1.4558108329805004,0.23622966892240083,8.507879150870341,151.61089879673176,-5.386388886495954,-3.3363235122746353,16.879127285970622,13.050638807048397,-3.25,-2.4467453872682734,-1.137003923564663,-0.6935181427699209,0.0,0.0,0.0,0.0,-0.013102695346380613,-0.007169226791994664,-77.50702944810088,-56.38839842747341,-300.0,-164.14699271722827,-370.4143976675373,-213.96850860675812
dev,9,starboard,stand_on,False,0,,0,target,1.6025527304863096,0,,-280.24005951642175,1.5379687920128267,9.281948455447523,257.9345989647785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,9,starboard,compliant_30,False,0,,0,target,1.6025527304863096,0,,-280.24005951642175,1.5379687920128267,9.281948455447523,257.9345989647785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,9,starboard,wrong_30,False,0,,0,target,1.6025527304863096,0,,-280.24005951642175,1.5379687920128267,9.281948455447523,257.9345989647785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,9,starboard,compliant_60,False,0,,0,target,1.6025527304863096,0,,-280.24005951642175,1.5379687920128267,9.281948455447523,257.9345989647785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,9,starboard,wrong_60,False,0,,0,target,1.6025527304863096,0,,-280.24005951642175,1.5379687920128267,9.281948455447523,257.9345989647785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
