idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,kind,min_range
9,turn60,starboard,7.643066319700785,0.9005926304107195,7.953183002116903,0.8744594352762242,232.04698227358332,7.535791979051938,True,target,1.445841354967668
10,follower,port,7.958885684444756,2.3471367729985007,10.230052405119007,1.130110315939075,99.26568482874778,9.57228362836453,False,,2.3472975897995414
10,stop,port,7.958885684444756,2.3471367729985007,10.230052405119007,1.130110315939075,99.26568482874778,9.57228362836453,False,,3.8193212380894233
10,slow,port,7.958885684444756,2.3471367729985007,10.230052405119007,1.130110315939075,99.26568482874778,9.57228362836453,False,,3.3837152501169667
10,turn30,port,7.958885684444756,2.3471367729985007,10.230052405119007,1.130110315939075,99.26568482874778,9.57228362836453,False,,3.6267512699810247
10,turn60,port,7.958885684444756,2.3471367729985007,10.230052405119007,1.130110315939075,99.26568482874778,9.57228362836453,False,boundary,4.1201527870467824
11,follower,port,8.919597231476935,2.22514847495875,9.238306312575618,0.6274640326643431,94.45670133270548,6.678765459306005,False,,2.2227076637197816
11,stop,port,8.919597231476935,2.22514847495875,9.238306312575618,0.6274640326643431,94.45670133270548,6.678765459306005,True,target,1.2641560275605022
11,slow,port,8.919597231476935,2.22514847495875,9.238306312575618,0.6274640326643431,94.45670133270548,6.678765459306005,True,target,1.4246089076535164
11,turn30,port,8.919597231476935,2.22514847495875,9.238306312575618,0.6274640326643431,94.45670133270548,6.678765459306005,True,target,1.2402286258955477
11,turn60,port,8.919597231476935,2.22514847495875,9.238306312575618,0.6274640326643431,94.45670133270548,6.678765459306005,True,target,1.788081115656823
12,follower,starboard,6.8745535936065325,0.9980912249888607,8.821480434593578,0.8896062014180335,258.34957664951156,7.289918123013016,True,target,1.2024714999456703
