policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,case_id,scenario,stratum,supervisor,behaviour
model,being_overtaken,9.843491584074446,1.7099442632523971,-7.750604792903937,,False,,goal,False,False,72,61.4085292136307,-30.4837103628254,0,0,0,20,0,0.0,0.0,0.0,7.52684206489516,0.0,0.5301623326905917,0.727499325214876,3.047113127276908,1.4463614714827395,0,,False,being_overtaken,20,0.0,False,0.0,tier_b,B-22-04,444,channel-wide,off,cv
model,being_overtaken,9.716295924913602,1.6723976105429958,-4.742870313522902,,False,,goal,False,False,72,71.2870553384291,-17.16721993783013,0,0,0,12,0,0.0,0.0,0.0,4.238819737735833,0.0,0.5483999949930791,0.7147572638815997,3.044927681032373,1.7502875806372706,0,,False,being_overtaken,12,0.0,False,0.0,tier_b,B-22-05,445,channel-wide,off,cv
model,being_overtaken,8.049056476873343,1.556278143242964,-5.372490966861983,,False,,goal,False,False,72,53.85111934700384,-18.42752714304558,0,0,0,18,0,0.0,0.0,0.0,4.550006701986563,0.0,0.5411194533136716,0.740766589222752,3.3058701259684606,1.660314332124558,0,,False,being_overtaken,18,0.0,False,0.0,tier_b,B-22-06,446,channel-wide,off,cv
model,being_overtaken,7.799354909629701,1.6611901037744503,-2.8854686619446817,,False,,goal,False,False,68,96.40916013536814,-13.926720465689094,0,0,0,9,0,0.0,0.0,0.0,3.438696411281257,0.0,0.5680108154993703,0.7448109576179862,2.5960036605491417,1.111555618273188,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-22-07,447,channel-wide,off,cv
model,being_overtaken,8.690239765618927,1.474073368222048,5.519243872692378,,False,,goal,False,False,71,116.89388194748712,-13.398926284550706,0,0,0,4,0,0.0,0.0,0.0,3.30837686038289,0.0,0.5485365877332797,0.7269097159650604,1.4840497316816403,0.5031907496762177,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-22-08,448,channel-wide,off,cv
model,being_overtaken,7.881090102230327,2.065411905633429,-9.26958123163976,,False,,goal,False,False,71,-38.74540440505156,-17.215180069578473,0,0,0,13,0,0.0,0.0,0.0,4.250661745574932,0.0,0.5519499048427492,0.6955178481027273,3.132564343637065,1.849402696584056,0,,False,being_overtaken,13,0.0,False,0.0,tier_b,B-22-09,449,channel-wide,off,cv
model,being_overtaken,9.098864756057598,1.6445286236483645,-4.7520507615088174,,False,,collision:obstacle,True,False,60,-468.8311787056932,-12.048558450061837,0,0,0,5,0,0.0,0.0,0.0,2.974952703718972,0.0,0.4369654279419028,0.555039852359687,2.392145105624285,2.190379263041989,0,,False,being_overtaken,13,0.0,False,0.0,tier_b,B-22-10,450,channel-wide,off,cv
model,being_overtaken,9.017872907729128,1.534551817588098,9.098256866868876,,False,,goal,False,False,74,79.13505896172967,-20.6723866322986,0,0,0,5,0,0.0,0.0,0.0,5.104292995629283,0.0,0.5214651842177139,0.7110615964475562,1.5973565532492044,0.8746174327802703,0,,False,being_overtaken,15,0.0,False,0.0,tier_b,B-22-11,451,channel-wide,off,cv
model,being_overtaken,8.105401831753472,1.534323642569582,8.13629336769647,,False,,goal,False,False,69,67.18487441731338,-48.65076195419857,0,0,0,11,0,0.0,0.0,0.0,12.012533815851498,0.0,0.5577593753566834,0.7408913016240347,1.6590157138124548,0.6579098047108428,0,,False,being_overtaken,26,0.0,False,0.0,tier_b,B-22-12,452,channel-wide,off,cv
model,being_overtaken,7.864085188417205,1.9608852618795736,-7.893296692196108,,False,,goal,False,False,69,84.00022121915865,-16.264375499470074,0,0,0,13,0,0.0,0.0,0.0,4.015895185054339,0.0,0.5628144933674601,0.6788220329748685,3.057533101513509,1.3401491626937208,0,,False,being_overtaken,13,0.0,False,0.0,tier_b,B-22-13,453,channel-wide,off,cv
