src,case,side,mode,response,engaged,target_hit,other_hit,goal,min_range,dcpa,tcpa,ct,k
dev,18,starboard,basin,a17_30,True,False,False,True,1.6026139195615414,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,a17_60,True,False,False,True,1.5304302405701775,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,other_30,True,False,False,True,2.6704484240846513,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,other_60,True,False,False,True,2.6751351152830605,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,slow,True,True,False,False,1.5919793264640818,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,a17_60_slow,True,True,False,False,1.1007307530511363,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,18,starboard,basin,other_60_slow,True,False,False,True,1.7019482895985658,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
dev,19,port,basin,stand_on,True,True,False,False,1.8284712502660705,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,a17_30,True,True,False,False,0.9738534733768442,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,a17_60,True,False,True,False,1.088021002333123,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,other_30,True,True,False,False,1.1606599087053422,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,other_60,True,True,False,False,1.3685008914308117,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,slow,True,True,False,False,1.6380993925616123,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,a17_60_slow,True,False,False,True,1.1046374709856908,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
dev,19,port,basin,other_60_slow,True,True,False,False,1.3961491071929593,0.21478633800013247,9.527681597408542,132.71447147476437,0.8613588102231204
extra,20,port,basin,stand_on,True,True,False,False,1.6346226146722003,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,a17_30,True,False,False,True,0.849281334913347,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
