idx,width,bend,step,cls,side,rng,ct_dev_perceived,ct_dev_true,tgt_heading_change,path_turn_since_start,alpha_path
42,6.999999999999998,8.138851896814414,21,crossing,port,5.1398393256644095,-14.934558112788068,-7.602220400894112,0.0,0.000272893775729699,-15.801948900549945
42,6.999999999999998,8.138851896814414,22,crossing,port,4.541779389449463,-14.01830166163927,-7.601947542534447,0.0,3.541606474755099e-08,-17.332768227704605
42,6.999999999999998,8.138851896814414,23,crossing,port,3.9480718996633133,-15.69480397814209,-7.602220400894112,0.0,0.000272893775729699,-19.326646142321806
42,6.999999999999998,8.138851896814414,24,crossing,port,3.3609381273479197,-12.03653395069557,-7.602220400894112,0.0,0.000272893775729699,-22.02109256517315
42,6.999999999999998,8.138851896814414,25,crossing,port,2.784451699653702,-12.210555407704419,-7.602211663686774,0.0,0.00026415656839162693,-25.842619539969007
42,6.999999999999998,8.138851896814414,26,crossing,port,2.2268088476759975,-17.937992318170245,-7.602229360753455,0.0,0.0002818536350730483,-31.615414396101556
42,6.999999999999998,8.138851896814414,27,crossing,port,1.7064836832397532,-14.53193043058468,-7.602211663686774,0.0,0.00026415656839162693,-41.060505073168486
42,6.999999999999998,8.138851896814414,28,crossing,port,1.270076483897017,-43.04648035719191,-7.602229360753455,0.0,0.0002818536350730483,-57.77969521106843
42,6.999999999999998,8.138851896814414,29,crossing,port,1.0302719853852227,-43.04646266012526,-7.602211663686774,0.0,0.00026415656839162693,-86.23308988306108
42,6.999999999999998,8.138851896814414,30,crossing,port,1.121164206109327,-43.04648035719191,-7.602229360753455,0.0,0.0002818536350730483,-118.89512504422072
42,6.999999999999998,8.138851896814414,31,crossing,port,1.4831034563457317,-43.04648035719191,-7.602229360753455,0.0,0.0002818536350730483,-140.91217678007715
44,6.181975163592668,-5.253220796585083,23,crossing,port,1.868060920015731,-63.344822494059315,-7.934391618960916,0.0,-0.3151214510724003,-29.37499105826464
