estop,idx,width,dcpa,coll_target,outcome,estops,u_min
on,96,10.0,1.8290081990792668,False,goal,0,0.5264211569833738
on,97,10.007113401454978,0.3852504113926303,False,goal,0,0.5704912391317901
on,98,10.162189625613772,0.6135191627434522,False,goal,0,0.5094868823230819
on,99,10.0,0.14137351270705856,False,goal,0,0.5691833536808049
off,0,5.044964366615236,1.1610102603999974,False,goal,0,0.5399836901554063
off,1,4.999999999999998,1.1532522249845545,False,goal,0,0.5859218489817081
off,2,5.0,1.0548264325212529,False,goal,0,0.5666309500071905
off,3,4.999999999999999,0.03670725630003924,True,target,0,0.5326279825108483
off,4,4.415696545423335,0.7870190103627532,False,goal,0,0.5512687684663993
off,5,5.032907986875176,1.1594090426277182,False,goal,0,0.5250227229940574
off,6,4.869448784480107,0.4570427385228544,False,goal,0,0.5243549984724131
off,7,5.0366771833384725,0.8932258039252212,False,goal,0,0.37719396283634093
off,8,4.659191839445868,0.5419955389240594,False,goal,0,0.5154166305311018
off,9,4.999999999999999,0.37413948972481004,False,boundary,0,0.5259397047420119
off,10,5.0,1.3472959214865994,False,goal,0,0.5556601452854824
off,11,4.968751119528688,0.04001909622158317,True,target,0,0.49596507686309294
off,12,4.914547501044645,1.1675514419324189,False,goal,0,0.5051252374398001
off,13,5.005537710139628,1.3391572103818132,False,goal,0,0.4802330042007464
off,14,4.926702222628319,1.3960193236397112,False,goal,0,0.5558469546931756
off,15,5.0,1.8290081990792668,False,goal,0,0.5054538777539265
off,16,5.081094812806886,0.014278637154533813,True,target,0,0.461478832095478
off,17,5.0,1.0531590099560793,True,target,0,0.521897756878042
off,18,4.714898798648277,0.08594449996880371,True,target,0,0.4609523501448636
off,19,4.688847854912078,1.3885356859153797,False,goal,0,0.4417121851412894
off,20,6.053957239938283,1.1610102603999974,False,goal,0,0.5232278689834947
off,21,6.0,1.1532522249845545,False,goal,0,0.5824184558430429
off,22,5.999999999999999,1.0548264325212529,False,goal,0,0.5587340722173649
off,23,5.999999999999999,0.03670725630003924,True,target,0,0.29703810098519934
off,24,5.298835854508,0.7870190103627532,False,goal,0,0.5344934150260863
off,25,6.039489584250211,1.1594090426277182,False,goal,0,0.5324782779925847
off,26,5.843338541376127,0.4570427385228544,False,goal,0,0.5463906413240526
off,27,6.044012620006167,0.5317459855422795,False,goal,0,0.36707421946750524
off,28,5.591030207335043,0.011739362685243115,False,goal,0,0.4997971217786767
off,29,6.0,0.37413948972481004,False,goal,0,0.491985334125449
off,30,5.9034460921538585,1.4743688155362717,True,target,0,0.09269652932650267
off,31,6.0,1.3472959214865994,False,goal,0,0.5510546463047019
off,32,5.962501343434427,0.04001909622158317,True,target,0,0.5125392904161243
