policy,idx,width,bend,coll,engaged_frames,first_cls,first_sense,p_head_on,p_cross_stbd,p_cross_port_sense,ever_port_sense_crossing
model,34,6.006645252167553,24.46288421027566,False,28,head_on,1,0.32142857142857145,0.2857142857142857,0.0,False
model,35,5.912042667153984,-9.245457058804845,False,17,crossing,-1,0.0,0.0,1.0,True
model,36,5.999999999999998,27.337535062502525,False,24,head_on,1,0.4166666666666667,0.375,0.0,False
model,37,6.004268040872987,-35.9333860874176,False,20,crossing,-1,0.0,0.0,0.4,True
model,38,6.0973137753682645,-12.579800621547006,False,23,crossing,-1,0.08695652173913043,0.043478260869565216,0.8695652173913043,True
model,39,5.999999999999999,35.9333860874176,False,0,never,0,0.0,0.0,0.0,False
model,40,7.06295011326133,3.595296311034113,False,21,head_on,1,0.2857142857142857,0.5714285714285714,0.0,False
model,41,6.999999999999999,-24.43147301673889,False,18,crossing,-1,0.0,0.2222222222222222,0.1111111111111111,True
model,42,6.999999999999998,8.138851896814414,False,23,head_on,1,0.391304347826087,0.043478260869565216,0.5217391304347826,True
model,43,6.999999999999999,10.60754656791687,True,19,head_on,1,0.47368421052631576,0.3684210526315789,0.0,False
model,44,6.181975163592668,-5.253220796585083,False,20,crossing,-1,0.0,0.0,1.0,True
model,45,7.046071181625245,13.322453498840332,True,24,crossing,-1,0.7916666666666666,0.0,0.125,True
model,46,6.817228298272148,18.827308416366577,False,29,head_on,1,0.1724137931034483,0.06896551724137931,0.7586206896551724,True
model,47,7.05134805667386,5.253220796585083,False,17,crossing,-1,0.0,0.0,0.8235294117647058,True
model,48,6.522868575224217,13.322453498840332,False,19,head_on,1,0.15789473684210525,0.05263157894736842,0.42105263157894735,True
model,49,7.0,-4.9761759547219375,True,31,head_on,1,0.5161290322580645,0.03225806451612903,0.45161290322580644,True
model,50,6.887353774179502,21.617038249969482,False,31,head_on,1,0.5806451612903226,0.12903225806451613,0.0,False
model,51,6.999999999999998,7.9177772998809814,False,18,crossing,-1,0.0,0.0,0.6666666666666666,True
model,52,6.956251567340164,-13.322453498840332,False,20,crossing,-1,0.2,0.05,0.75,True
model,53,6.880366501462503,-16.062408685684204,True,28,head_on,1,0.5714285714285714,0.03571428571428571,0.39285714285714285,True
model,54,7.007752794195478,21.617038249969482,False,27,head_on,1,0.4444444444444444,0.18518518518518517,0.0,False
model,55,6.897383111679649,-9.245457058804845,False,22,head_on,1,0.09090909090909091,0.9090909090909091,0.0,False
model,56,6.999999999999999,21.617038249969482,False,23,head_on,1,0.30434782608695654,0.34782608695652173,0.0,False
model,57,7.004979381018484,-24.43147301673889,True,25,crossing,-1,0.56,0.2,0.24,True
model,58,7.113532737929641,-12.579800621547006,False,27,head_on,1,0.3333333333333333,0.2222222222222222,0.0,False
model,59,6.999999999999999,21.617038249969482,False,22,crossing,-1,0.13636363636363635,0.045454545454545456,0.8181818181818182,True
model,60,8.071942986584375,3.595296311034113,False,23,head_on,1,0.34782608695652173,0.4782608695652174,0.0,False
model,61,7.999999999999998,-13.322453498840332,True,20,crossing,-1,0.4,0.35,0.25,True
model,62,7.999999999999998,0.0,False,19,head_on,1,0.47368421052631576,0.05263157894736842,0.47368421052631576,True
model,63,7.999999999999998,0.0,True,22,head_on,1,0.6363636363636364,0.36363636363636365,0.0,False
model,64,7.065114472677336,0.0,False,22,head_on,1,0.09090909090909091,0.045454545454545456,0.8636363636363636,True
model,65,8.052652779000283,0.0,True,21,crossing,-1,0.5238095238095238,0.047619047619047616,0.38095238095238093,True
model,66,7.7911180551681705,7.9177772998809814,False,20,crossing,-1,0.15,0.05,0.8,True
model,67,8.058683493341555,0.0,False,28,head_on,1,0.42857142857142855,0.03571428571428571,0.2857142857142857,True
model,68,7.45470694311339,0.0,False,21,crossing,-1,0.14285714285714285,0.047619047619047616,0.8095238095238095,True
model,69,8.0,-4.9761759547219375,False,21,head_on,1,0.42857142857142855,0.047619047619047616,0.5238095238095238,True
model,70,7.871261456205144,10.60754656791687,False,24,crossing,-1,0.0,0.0,0.5833333333333334,True
model,71,7.999999999999998,0.0,False,20,crossing,-1,0.0,0.0,0.8,True
model,72,7.950001791245903,0.0,False,20,crossing,-1,0.15,0.05,0.8,True
model,73,7.863276001671432,-5.253220796585083,False,25,crossing,-1,0.12,0.52,0.16,True
