policy,idx,width,coll_target,outcome,estops,u_min,ever_port_sense,p_port_sense
follower,66,7.7911180551681705,True,target,0,0.5595555894857217,False,0.0
follower,67,8.058683493341555,False,goal,0,0.5419590699946282,False,0.0
follower,68,7.45470694311339,True,target,0,0.22468123716082744,False,0.0
follower,69,8.0,False,goal,0,0.5521969862258099,False,0.0
follower,70,7.871261456205144,False,goal,0,0.5585427321062543,False,0.0
follower,71,7.999999999999998,False,goal,0,0.5537865930315763,False,0.0
follower,72,7.950001791245903,True,target,0,0.445850887242528,False,0.0
follower,73,7.863276001671432,False,goal,0,0.5496430452223875,False,0.0
follower,74,8.008860336223405,False,goal,0,0.5498019750263827,False,0.0
follower,75,7.882723556205311,False,goal,0,0.5455636310189063,False,0.0
follower,76,7.999999999999998,False,goal,0,0.5589216129931397,False,0.0
follower,77,8.005690721163983,True,target,0,0.2135411091591226,False,0.0
follower,78,8.129751700491019,False,goal,0,0.5585305510194405,False,0.0
follower,79,7.999999999999998,True,target,0,0.10548313501505904,False,0.0
follower,80,10.089928733230472,False,goal,0,0.5515089365387172,False,0.0
follower,81,9.999999999999996,True,target,0,0.21889752757777134,False,0.0
follower,82,10.0,False,goal,0,0.5551447791850324,False,0.0
follower,83,9.999999999999998,True,target,0,0.11031951328843495,False,0.0
follower,84,8.83139309084667,False,goal,0,0.5588730194614351,False,0.0
follower,85,10.065815973750352,False,goal,0,0.5539020345017754,False,0.0
follower,86,9.738897568960214,True,target,0,0.33263704943281747,False,0.0
follower,87,10.073354366676945,False,goal,0,0.5486315516966774,False,0.0
follower,88,9.318383678891736,True,target,0,0.44380994953355174,False,0.0
follower,89,9.999999999999998,True,target,0,0.21424734221125968,False,0.0
follower,90,9.839076820256432,False,goal,0,0.5586094367961187,False,0.0
follower,91,10.0,False,goal,0,0.5554381493446356,False,0.0
follower,92,9.937502239057377,True,target,0,0.44384477807691153,False,0.0
follower,93,9.82909500208929,False,goal,0,0.5580583127179836,False,0.0
follower,94,10.011075420279257,False,goal,0,0.550459790811818,False,0.0
follower,95,9.853404445256638,False,goal,0,0.5582518868921655,False,0.0
follower,96,10.0,False,goal,0,0.5511298735853265,False,0.0
follower,97,10.007113401454978,True,target,0,0.10918190906769694,False,0.0
follower,98,10.162189625613772,True,target,0,0.5439614391561907,False,0.0
follower,99,10.0,True,target,0,0.3313960646400038,False,0.0
