policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
wrong_way,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,collision:target,True,True,30,-397.09846009860485,-99.26522960477836,16,0,19,0,27,6.857126930247116,0.0,3.56670140684027,0.0,11.662739163428926,0.5237018102895222,0.5574844451973853,0.9203900125457798,0,,False,head_on,27,0.0,False,0.0,1
wrong_way,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,collision:boundary,True,False,109,-1027.7625183472526,-39.63864642113026,16,0,30,0,7,2.6668912879264397,0.0,6.691507534611661,0.0,0.5218016491760894,0.4995748485796242,0.5572649370173868,3.4634413948057157,0,,False,head_on,30,0.0,False,0.0,2
wrong_way,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,collision:boundary,True,False,106,-495.2736613448102,-56.24574817807671,14,0,24,0,14,4.318075784122102,0.0,7.461118493071904,0.0,1.780276993691877,0.5064023807960625,0.5579682112984838,2.282510276866882,0,,False,head_on,24,0.0,False,0.0,3
wrong_way,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,collision:boundary,True,False,100,-1015.3537281840893,-60.874322727860765,15,0,25,0,8,5.699994528782809,0.0,8.22766823745522,0.0,0.6754987012326777,0.5259100524135395,0.5615282713144726,2.2818985796262834,0,,False,head_on,29,0.0,False,0.0,4
wrong_way,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,goal,False,False,85,31.85692832137346,-49.96013614859167,13,0,24,0,7,3.4719901464678173,0.0,7.672425172885266,0.0,1.1451231780420068,0.5012639926957786,0.5578765815395261,2.7599689112216677,0,,False,head_on,24,0.0,False,0.0,5
wrong_way,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,collision:boundary,True,False,106,-593.4863990597446,-58.190817988985934,14,0,25,0,9,4.708204514747646,0.0,7.843937567757586,0.0,1.4771178660128417,0.4942929411434952,0.5575835827011653,2.292370670488021,0,,False,head_on,25,0.0,False,0.0,6
wrong_way,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,collision:target,True,True,33,-389.130751785627,-98.04633260941664,16,0,19,0,28,7.611473585015087,0.0,2.3989183100251386,0.0,11.496318321666985,0.533228328971351,0.5625978327228442,1.1185882808180014,0,,False,head_on,29,0.0,False,0.0,7
wrong_way,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,goal,False,False,77,74.1433277911943,-29.583905497690605,10,0,21,0,0,1.8096422845994131,0.0,5.729493385812087,0.0,0.0,0.5284071276486217,0.557847510425062,3.1905477774660245,0,,False,head_on,21,0.0,False,0.0,8
wrong_way,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,collision:target,True,True,31,-331.3068202682853,-47.035193902542666,13,0,17,0,14,5.923653719871676,0.0,3.471780754815504,0.0,1.158821615964901,0.525329934985033,0.5571736970491616,0.8859384559635585,0,,False,head_on,24,0.0,False,0.0,9
wrong_way,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,collision:boundary,True,False,99,-418.96591606071894,-26.907910688196157,13,0,23,0,2,1.83031297210373,0.0,4.872690310150807,0.0,0.06803919105328773,0.5250146504172175,0.5594307953305302,3.5127453151270442,0,,False,head_on,23,0.0,False,0.0,10
