scenario,policy,class,mode,slant,w_eff_at_cpa,n_obstacles,layout_redraws,layout_thinned,feasible,outcome,steps,min_target_range,wall_s
40,follower,overtaking,channel,0.0,5.219867500885175,0,0,0,True,goal,68,1.1475866275864453,6.189743757247925
41,follower,overtaking,basin,6.326963762710786,9.256378717080882,0,0,0,True,collision:target,42,1.8718058643152886,1.9919378757476807
42,follower,overtaking,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,69,1.1366542902856323,3.6511611938476562
43,follower,overtaking,channel,0.0,8.889623185127105,0,0,0,True,collision:target,41,1.1250811995186183,3.9728736877441406
44,follower,overtaking,channel,0.0,9.729595130631104,0,0,0,True,goal,68,1.1075185481916883,5.2625038623809814
45,follower,overtaking,channel,0.0,7.668335709652903,0,0,0,True,collision:target,41,1.9455898094419348,3.1693174839019775
46,follower,overtaking,basin,10.356089278203571,9.352354251818824,0,0,0,True,collision:target,52,0.7905306629843483,2.485008478164673
47,follower,overtaking,basin,-4.324336545654178,9.226265367820247,0,0,0,True,goal,68,1.9381663203933082,3.9442431926727295
48,follower,overtaking,channel,0.0,5.121410538256702,0,0,0,True,collision:target,33,1.9368947694567078,2.652949333190918
49,follower,overtaking,basin,0.37118644200870426,9.200193065365328,1,0,0,True,collision:obstacle,20,4.2178831163167025,1.2952179908752441
50,follower,overtaking,basin,9.901480496250201,9.339107090376732,0,0,0,True,goal,69,1.290330651582168,5.11685585975647
51,follower,overtaking,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,67,1.401888832663622,3.1651363372802734
52,follower,overtaking,channel,0.0,7.124057313930022,0,0,0,True,collision:target,52,0.7804514051990983,4.295057535171509
53,follower,overtaking,basin,0.936171788061447,9.201228208159641,1,0,0,True,collision:obstacle,22,5.061614880887012,1.2945640087127686
54,follower,overtaking,basin,8.580724896282886,9.304144726251462,0,0,0,True,goal,68,0.882454510143952,3.104391574859619
55,follower,overtaking,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,69,1.2284532664585102,4.059338808059692
56,follower,overtaking,basin,12.581281105048335,9.426345612222729,0,0,0,True,goal,70,1.778563299977414,4.100515365600586
57,follower,overtaking,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,69,1.6356711249315348,3.577118396759033
58,follower,overtaking,basin,-1.9690042796056655,9.205435251508588,0,0,0,True,goal,67,1.0222068037910144,3.823242664337158
59,follower,overtaking,channel,0.0,3.8981553342240094,0,0,0,True,collision:target,41,1.925977419115297,3.421329975128174
60,follower,being_overtaken,basin,8.053841092030304,9.29164488754975,0,0,0,True,goal,44,1.7061078516439336,2.9824743270874023
61,follower,being_overtaken,basin,6.326963762710786,9.256378717080883,0,0,0,True,goal,45,1.8901069260238659,2.1694679260253906
62,follower,being_overtaken,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,43,1.7754712931733148,1.7739908695220947
63,follower,being_overtaken,basin,-1.087523873901802,9.20165750697397,2,0,0,True,collision:obstacle,33,1.3250702784477024,2.5652358531951904
64,follower,being_overtaken,basin,-12.395881636398036,9.419592259148494,0,0,0,True,goal,46,1.3979094346276542,2.0174098014831543
65,follower,being_overtaken,basin,0.9828875290229955,9.201353859109183,0,0,0,True,goal,44,1.2516513893749652,1.7349529266357422
66,follower,being_overtaken,basin,10.356089278203571,9.352354251818824,0,0,0,True,goal,44,1.8294436281668143,1.9073913097381592
67,follower,being_overtaken,basin,-4.324336545654178,9.226265367820247,0,0,0,True,goal,43,1.208470737563929,1.8291845321655273
68,follower,being_overtaken,basin,4.467347368212032,9.228035830753342,0,0,0,True,goal,44,1.1806871351922732,2.4944379329681396
69,follower,being_overtaken,basin,0.37118644200870426,9.200193065365328,0,0,0,True,collision:target,14,1.8959401042698567,0.9944593906402588
70,follower,being_overtaken,basin,9.901480496250201,9.339107090376732,0,0,0,True,goal,44,1.470096875851512,2.5874710083007812
71,follower,being_overtaken,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,44,1.3884090882687947,2.1502678394317627
72,follower,being_overtaken,basin,-4.056083464274456,9.223101176511953,0,0,0,True,collision:target,17,1.879358421649058,0.7169351577758789
73,follower,being_overtaken,basin,0.936171788061447,9.201228208159641,0,0,0,True,collision:target,20,1.8635039327660128,1.1861200332641602
74,follower,being_overtaken,basin,8.580724896282886,9.304144726251462,0,0,0,True,goal,44,1.935946055542222,1.7662994861602783
75,follower,being_overtaken,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,43,1.7585958751877044,1.5463132858276367
76,follower,being_overtaken,basin,12.581281105048335,9.426345612222727,0,0,0,True,goal,45,1.6105546206121744,1.7951741218566895
77,follower,being_overtaken,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,44,1.7473157271436264,2.207095146179199
78,follower,being_overtaken,basin,-1.9690042796056655,9.205435251508588,0,0,0,True,goal,43,1.4806967995930125,1.5874519348144531
79,follower,being_overtaken,basin,9.944671151023847,9.3403387698431,1,0,0,True,goal,45,1.874884813015355,2.249647617340088
80,follower,null,basin,8.053841092030304,9.29164488754975,3,0,0,True,collision:obstacle,31,9.886377012166648,1.9657433032989502
81,follower,null,basin,6.326963762710786,9.256378717080883,0,0,0,True,goal,68,10.028926274668814,2.207508087158203
82,follower,null,basin,6.7230971164802975,9.263701505753867,3,0,0,True,collision:obstacle,25,11.380043494499407,1.4726684093475342
83,follower,null,basin,-1.087523873901802,9.20165750697397,3,0,0,True,collision:obstacle,40,8.184548437070898,2.6593024730682373
84,follower,null,basin,-12.395881636398036,9.419592259148496,3,0,0,True,collision:obstacle,29,8.15463537169836,1.901254653930664
85,follower,null,basin,0.9828875290229955,9.201353859109183,2,0,0,True,collision:obstacle,27,9.66508499353971,1.4777865409851074
86,follower,null,basin,10.356089278203571,9.352354251818824,1,0,0,True,collision:obstacle,28,9.985887247631776,1.6828858852386475
87,follower,null,basin,-4.324336545654178,9.226265367820247,3,0,0,True,goal,68,8.169101260514738,5.315870523452759
88,follower,null,basin,4.467347368212032,9.228035830753342,3,0,0,True,collision:obstacle,17,9.03357609178149,0.9016387462615967
89,follower,null,basin,0.37118644200870426,9.200193065365328,2,0,0,True,goal,69,8.125824689874607,4.9136199951171875
90,follower,null,basin,9.901480496250201,9.339107090376732,2,0,0,True,goal,69,8.686796876914679,4.553148508071899
91,follower,null,basin,-1.1701536087827094,9.20191899482069,1,0,0,True,collision:obstacle,16,8.442215225553587,1.2629990577697754
92,follower,null,basin,-4.056083464274456,9.223101176511953,1,0,0,True,collision:obstacle,40,7.026991568736546,1.8979010581970215
93,follower,null,basin,0.936171788061447,9.201228208159641,2,0,0,True,collision:obstacle,26,13.085507685786594,1.3595976829528809
94,follower,null,basin,8.580724896282886,9.304144726251462,1,0,0,True,collision:obstacle,29,10.053965009227667,1.7088603973388672
95,follower,null,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,68,5.45071769455927,3.1115195751190186
96,follower,null,basin,12.581281105048335,9.426345612222727,0,0,0,True,goal,71,8.024526072304393,2.605696439743042
97,follower,null,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,70,8.39285866498998,4.192062616348267
98,follower,null,basin,-1.9690042796056655,9.205435251508588,3,0,0,True,goal,68,8.188139689022162,5.614889860153198
99,follower,null,basin,9.944671151023847,9.3403387698431,0,0,0,True,goal,71,10.395640419302751,2.5805909633636475
100,follower,no_target,basin,8.053841092030304,9.29164488754975,2,0,0,True,collision:obstacle,25,inf,1.1943435668945312
101,follower,no_target,basin,6.326963762710786,9.256378717080883,1,0,0,True,collision:obstacle,46,inf,1.8083562850952148
102,follower,no_target,basin,6.7230971164802975,9.263701505753867,0,0,0,True,goal,70,inf,1.300886869430542
103,follower,no_target,basin,-1.087523873901802,9.20165750697397,3,0,0,True,collision:obstacle,35,inf,1.9988572597503662
104,follower,no_target,basin,-12.395881636398036,9.419592259148496,3,0,0,True,collision:obstacle,26,inf,1.5681085586547852
